inputs,outputs
"where can i get chinese food? there is a p.f. changs P.F._Changs_distance away. what is the address? p.f. changs is located at P.F._Changs_address. please pick the fastest route to get there and send the info on the gps, thank you! gps set to p.f. changs at P.F._Changs_address but a road block is noted nearby, do you still want to proceed? yes, thank you","you're welcome, i'm here to assist you!"
what is the weather for today what city are you located in? i need to know the temperature in san francisco today.,it will be 40-50f in san francisco today.
what time is my appointment today,your doctor appointment is on the calendar for today at doctor_appointment_time.
get me the address to my nearest friend's house.,jill is at 347 alta mesa ave.
what's the current temperature outside for what city would you like the current weather for? i'm located in exeter. the temperature in exeter is showing a low of 60f with a high of 80f. thanks.,you are very welcome
where can i get gas?,i have a gas station 76_distance away named 76. care for more info?
is it going to rain today what city would you like me to find out about rain in? san mateo it is not going to rain in san mateo today. perfect.,you are welcome.
find me a nearby shopping mall shopping center,there is stanford shopping center Stanford_Shopping_Center_distance away: do you want me to send you its address on screen?
check today's weather,what city would you like today's weather about?
what is the forecast for this week,you would like to know the weekly forecast for what city?
is it going to rain in the next few days tell me when,what city should i check to see if it'll be raining during the week?
what is the weather like in the city,which city do you want the weather for?
what's the forecast for today,what city can i give you the forecast from?
locate any hospitals in the area.,the nearest hospital is called palo alto medical foundation and is Palo_Alto_Medical_Foundation_distance away.
"car i'd like to eat pizza, please pick come restaurant within 3 miles and send the quickest route on screen","i currently do not have a pizza shop listed that is within 3 miles. the closest is Round_Table_distance, would that do?"
can you give me directions to the grocery store,there is trader joes Trader_Joes_distance away: sounds good to you?
"i need you to schedule a reminder to take my medicine at 7 pm. mark it on the 1st, with ana. please.","okay, setting a reminder to take medicine on the 1st at 7pm with ana."
"get me the home address of my friend that is the closest to my location. we're jacks_house_distance away from jack's house, i sent his address' position on your screen what is the address?",jacks_house_address
get me the weather forecast for the next 7 days,for what city would you like the forecast?
im looking for a shopping mall around here. the topanga mall is Topanga_Mall_distance away. what is the address?,the address to topanga mall is Topanga_Mall_address.
set a reminder for a conference with vice president at 3 pm on saturday.,reminder set for conference with vice president at 3 pm on saturday.
"find me a place i can go to sit and drink coffee or tea there are two nearby coffee or tea places.  would you like the nearest one? yes, please, if it has the fastest route to it.",the nearest coffee or tea place is philz four miles away with heavy traffic on the route.  would you like the other coffee or tea place with moderate traffic on the route Coupa_distance away?
are there any chinese restaurants here? there is jing jing and pf changs. which has less traffic?,they are the same.
can you find out the date and parties attending for my tennis activity?  your brother will be attending your tennis activity on tennis_activity_date. thank you,no problem
what day is my next tennis match the next tennis activity is tennis_activity_date at 10 am. okay thanks.,you are welcome.
directions to coffee and tea house here are directions to teavana. give me the address.,the address to teavana is Teavana_address.
what is the forecast in my city,what city do you want the weather for?
set a reminder for dinner at 9am next wednesday with mother,"ok, dinner at 9am on wednesday with your mother is set"
"find nearest coffee shop the nearest coffee shop is starbucks located at Starbucks_address. is the starbucks within 5 miles of here? if so, please direct me to the starbucks via the quickest route.  yes the starbucks is only Starbucks_distance away. setting the gps.  thank you.",you're welcome.
"car i need to go to a grocery store there is a safeway at 452 arcadia place, Safeway_distance away. would you like directions there? yes, please, pick a route to avoid all Safeway_traffic_info","i'm afraid the route to safeway currently has Safeway_traffic_info, and it is the only grocery store in the area. proceed?"
"where's the nearest parking garage the nearest parking garage is civic center garage.	 please send me its address on the screen and pick a quick route to reach there, thank you!",civic center garage is located at Civic_Center_Garage_address. setting your gps for the quickest route now.
"what is the date of my next medicine event and who will be attending? for which one? i have one on friday with father and one on monday with jon. that is all, thanks.",glad to help
"i'm taking medicine at 7pm with marie alright, setting a reminder to take medicine at 7 pm with marie. thank you.","not a problem, have a good day."
i'm in pain navigate me to the nearest hospital i have two hospitals located 1 mile away. which one would you like to know about? pick the fastest to reach on the quickest route,"then let's go at palo alto medical foundation, there is Palo_Alto_Medical_Foundation_traffic_info on our way and its address is 611 ames ave"
"find me a place i can go to sit and drink coffee or tea there are two nearby coffee or tea places.  would you like the nearest one? yes, please, if it has the fastest route to it. the nearest coffee or tea place is philz four miles away with heavy traffic on the route.  would you like the other coffee or tea place with moderate traffic on the route Coupa_distance away? yes let's try the one with Coupa_traffic_info.  then let's go at coupa, the address is Coupa_address, i sent it on your screen thank you, let's go there!","you're welcome, sounds great."
"will it be overcast in alameda on alameda_monday? on alameda_monday it's gonna be foggy in alameda okay, thank you",you are welcome.
what is the current temperature where would you like to know the temperature? i want to know the temperature in san jose.,the current temperature for san jose is supposed to be the high of 40 and low of 20.
car i'm desiring coffee: which one is the closest to my position? there is a starbucks in Starbucks_distance at 792 bedoin street thanks!,anytime!
schedule a yoga activity with jon on wednesday at 1pm.,"okay, i am scheduling a yoga activity with jon for wednesday at 1pm."
what's the weather like today and tomorrow where would you like to hear the forecast from? i want to hear grand rapids highest temperature for today and tomorrow,"in grand rapids, today's high temp is 40f, tomorrow's will be 80f"
what is the temperature outside,for what city do you want the current temperature for?
what's the weather like,what city are you in?
where's the nearest place to get a hot cup of tea,the nearest tea shop is palo alto cafe at Palo_Alto_Cafe_address.
locate a parking garage around my current location.,stanford oval parking is Stanford_Oval_Parking_distance away.
is there any rain in the current weather forecast in inglewood?,today it's gonna fall hail in inglewood
"take me to the nearest grocery store the nearest grocery store is Whole_Foods_distance away, whole foods at 819 alma st. please give directions to that store by the fastest route. thank you.  setting navigation now.  okay, should i expect to see any traffic? there is a Whole_Foods_traffic_info but i already sent on your screen a route to go around it thank you",you are welcome
"please tell me the weather for today and tomorrow what city are you asking about? find out if it will rain in alhambra today or tomorrow. today is gonna be frost in alhambra but it shouldn't rain today nor tomorrow okay, thank you",glad to help
"is it gonna be misty in san francisco on san_francisco_tuesday? it will not be misty on san_francisco_tuesday, in san francisco the weather is predicted to be dry. thanks.",anytime.
schedule an appointment at 5pm at the end of march with tom. scheduling your appointment with tom at the end of the month at 5 pm. set the appointment to be a lab appointment.,"okay, changing schedule for your appointment to a lab appointment."
"car i want pizza, please send me the address of any pizza restaurant nearby",the closest pizza spot i have listed is pizza my heart. it is 1 mile away and the address is Pizza_My_Heart_address.
what will the temperature be this weekend,what city are you inquiring about?
is it raining today what city would you like me to find out if it is raining in? oakland there will not be any rain for oakland today.  thanks.,you are welcome.
"please show me the weekly weather report what city do you want the weather for? i need the weather for compton. it will be 90-100f monday, 40-60f tuesday, 70-80f wednesday, 80-90f thursday, 40-60f friday, 60-80f saturday, and 30-40f compton_sunday. thanks. you are welcome. that will be all.",goodbye.
can you please take me to a coffee house there is philz Philz_distance away or palo alto cafe 3 miles from here: which one do you prefer? the one with the quickest route which looks like philz.,"yes, philz is the nearest one. set the navigation at its address Philz_address?"
"schedule a conference with management on the 7th at 2pm. okay, i am now scheduling a conference on the 7th at 2 pm with management. thanks a bunch.",no problem driver!
i need a The_Clement_Hotel_traffic_info route to a rest stop.,the route to the clement hotel at 657 ames ave is The_Clement_Hotel_distance and does not have any traffic
directions to coffee and tea house,here are directions to teavana.
"set a reminder for dentist appointment at 5 pm on the 2nd with ana.  okay, scheduling a dentist appointment with ana for the 2nd at 5pm. thanks a million.",anytime.
what time is my football activity and with who?,"i have two in your calendar, one at 1pm with football_activity_party and one at 6pm with aunt."
find me chinese restaurants within 3 miles of my current location i'm sorry but the nearest one is P.F._Changs_distance away: go there anyway? yes but provide me with the quickest route please.,this route to p.f. changs has P.F._Changs_traffic_info. would you like the address?
"car i need a parking garage within 5 miles of my current position civic center garage is Civic_Center_Garage_distance away: do you want me to set the gps to get there? where is civic center garage, can i get there while avoiding all heavy traffic? in this moment there is Civic_Center_Garage_traffic_info on our way, i will pick for you the fastest route thanks so much and set the gps.",you're welcome and the gps is set.
"find a chinese joint that is within 3 miles of my location. panda express is Panda_Express_distance away, that is the closest. what is the address? Panda_Express_address, i sent it on your screen thanks!",you're welcome!
look at today and tomorrow and tell me if it will be cloudy in compton it will not be cloudy today or tomorrow in compton thanks.,anytime.
"who is going with me to the lab appointment and what day is it? your lab appointment is on lab_appointment_date with martha okay, wonderful. thank you!",no problem
what are the directions to the mall we are Topanga_Mall_distance away from topanga mall and from midtown shopping center: do you have any preference? which ever has less traffic.,"then let's go at topanga mall, i sent its position and the route to reach on your screen"
"which days are rain forecasted in what city would you like the forecast? alameda, tell me about right now there is drizzle in alameda right now. thank you",you are welcome.
"where is there a pizza place near me? pizza my heart is Pizza_My_Heart_distance away but a car collision is being reported.  okay, where is pizza my heart?","its address is Pizza_My_Heart_address, i sent the directions on your screen"
"is it raining today today it is only raining in compton and atherton. so no rain in los angeles today then? today is gonna be frost in los angeles, with low temperature of 30f, and high of 40f great thank you",no problem.
"schedule a meeting.  when is your meeting? at 10 am on thursday with management to discuss dress code okay, i have that meeting all scheduled for you. can i do anything else? thanks car, that is all.",you're welcome
what time is my next yoga activity and who will be attending?,your next yoga activity is with yoga_activity_party at 7pm.
"is snow forecasted this week what city do you want to find out if it is snowing in? corona, please! there is no snow in the forecast for corona. thank you",you are welcome.
where is a rest stop within 5 miles?,four seasons is Four_Seasons_distance away. want the address?
"what is the weather forecast for the next 7 days what is the name of the city you want the forecast from? carson, please","in carson it will be frost on monday, raining on tuesday, overcast on wednesday, dry on thursday, clear skies on friday, cloudy on saturday, and overcast on carson_sunday"
is it humid in compton now?,it is not humid in compton now.
"give me directions to a coffee place navigating to cafe venetia. please pick the fastest route and bring me there, thank you! i only have one listed and it's got Cafe_Venetia_traffic_info. do you still want to go there? i guess, what is the address?",cafe venetia is located at Cafe_Venetia_addressive.
how's the weather in new york the weather in new york is new_york_monday.  thanks.,you are welcome.
"get me directions to a local cafe there are 3 local cafe would you like the closest one? please give me the address and directions to the coffee shop closest to me.  the closest is peets coffee, Peets_Coffee_distance away, at 9981 archuleta ave. please pick the route with the shortest distance and let's go there!",setting navigation to peets coffee now.
"what time and date is my conference and what is the agenda? which one? i have two, one on monday at 7pm to discuss dress code, and one on conference_date at 11 am to discuss dress code.  it was the one on conference_date, thank you!",you are welcome.
"when is yoga, and who is going? you have yoga activities on yoga_activity_date, 8th, and thursday, which one are you interested in? the one on yoga_activity_date.",your father will be attending your yoga activity on yoga_activity_date with you.
"schedule a optometrist appointment with tom today at 7pm. no problem, scheduling a optometrist appointment with tom for 7pm. do you have a specific date in mind? yes, today.  setting reminder for today at 7 pm for optometrist appointment with tom.  thanks.",you're welcome
"find me the best parking spot there are two nearby parking garages. dish parking and webster garage.  what is traffic like on the route to those locations and can you send me directions to the one without any traffic? webster garage is located Webster_Garage_distance away, though there is a car collision nearby. would you like directions there? yes, please give me directions via the fastest possible route.  setting navigation to Webster_Garage_address now.  thank you car!",you're welcome.
i'm desiring to eat at some chinese restaurant: please pick the nearest one! chef chu's is the closest chinese. great. how do i get there?,chef chu's is located at Chef_Chu's_address.
set reminder to make doctor's appointment,"ok, when should i schedule a reminder to make your doctor's appointment?"
what are the directions to the nearest chinese restaurant the nearest chinese restaurant is panda express which is Panda_Express_distance away at 842 arrowhead way and there is no traffic. that sounds amazing. set the gps there and thanks for the help.,you're welcome and gps set.
"take me to the nearest starbucks i am unable to locate starbucks. however there are two coffee or tea place nearby, cafe venetia and philz what is the address of philz?",philz is at 583 alester ave.
what is the address for home?,"your home is at 5671 barringer street, we're home_distance away and there is a road block nearby"
how hot is it going to be this week any day in particular you are looking for? i want to know if the weather will be hot in san jose this week. yes the forecast is calling for highs in the 90s for most of the week. thanks.,no problem.
what time is my optometrist appointment and who will be going?,do you mean your optometrist appointment on sunday or optometrist_appointment_date?
"what are the directions to the mall there is town and country Town_and_Country_distance away: would you like to go there? yes, please. navigating to town and country. give me the address.",town and country is located at Town_and_Country_addressnue.
how cloudy is it going to be for the next week what city are you interested in? san jose,in san jose it will be cloudy on monday and on san_jose_sunday
what is the date of my next dinner event and who will be attending? your next dinner event is with your father on dinner_date. thanks.,glad i can help assist you.
is it dry in fresno right now?,it is misty in fresno right now.
"please give me the address and directions via the quickest route to a hospital around me.  stanford express care hospital at 214 el camino real is there Stanford_Express_Care_distance away through moderate traffic fantastic, thank you",you are welcome
"running out of gas. closest gas station?  the closest gas station is 76, 76_distance away in heavy traffic. would you like directions there? yes, please give me directions via a quick route.  okay, you will find 76 at 76_address thank you car!",no problem
where is the nearest chinese restaurant?,tai pan is 1 mile away at tai_pan_address. would you like directions there?
tell me what the temperature will be like for the next week for what city? grand rapids,in grand rapids the temperature is predicting lows in the 20f and highs in the 90f.
"please give directions to the nearest starbucks there are no starbucks around but we're Cafe_Venetia_distance away from cafe venetia can i get the address? cafe venetia is located at Cafe_Venetia_addressive.  sounds good, navigate me there please.","sure, i sent the info on your screen, drive carefully!"
will there be hail in mountain view today?,there will be clear skies today in mountain view.
will there be and dew this week in inglewood?,there will not be dew in inglewood this week.
set a reminder for tennis,when and where will you be playing tennis?
find what time my lab appointment is for,"you have 3 appointments doctor, optometrist and dentist"
can you give me the weather this week for new york city,"the weather in new york is predicted to be cloudy, the temperature should be a  low of 40f, and a high of 60f"
"navigate to the closest restaurant tai pan seems to be the closest restaurant at 1 mile away.  that sounds great, let's go there.","setting navigation to tai_pan_address, 1 mile away."
"show directions for the nearest grocery store the nearest grocery store is at Whole_Foods_addressreet. perfect, give me the address. the address of whole foods is Whole_Foods_address.  would you like me to set the gps? yes, please, pick the fastest route to go there and show me the info on man, thank you!","i sent the fastest route on your map, drive carefully! you're welcome"
"where are the nearest coffee shops we're Palo_Alto_Cafe_distance away from starbucks and Palo_Alto_Cafe_distance away from palo alto cafe: where do you prefer to go? it's the same, please pick one with a quick route please palo alto cafe is quicker since there is Palo_Alto_Cafe_traffic_info on route. would you like the address? yes please. palo alto cafe is located at 436 alger dr, which is Palo_Alto_Cafe_distance away with no traffic.  thank you car, let's go there!","you're welcome, i'm here to assist you!"
"check out my appointment check appointment for doctor, optometrist or dentist?  doctor appointment, i need to find out the agenda.","you have no agenda set, would you like to set one right now?"
where does my friend live?,"you have two friends listed, tom and jill. which one do you want to see?"
find route to the hospital navigating you to stanford children's health. thanks!,my pleasure.
what is the lowest temperature in oakland right now?,the low temperature right now in oakland is 90f
add the football game to my calendar,what time is the football game?
what's the forecast report what city do you want the weather for? cleveland,what days are you interested in?
"give me the fastest route to a rest stop . the travelers lodge is located Travelers_Lodge_distance away, though there is a road block nearby. would you like directions there? are there any detours avalible?  no that's the best i can do.  ok, that will be fine. please give me the address and directions via the fastest route.  travelers lodge is at Travelers_Lodge_address. and i have set the gps.  thank you car!",you're welcome!
when is the football? the football game is football_activity_date at 9 am.  who is going? alex will be at the football activity on football_activity_date at 9 am. thank you,no problem
where is the nearest rest stop? nearest rest stop is 3 miles away. how is the traffic there? there is moderate traffic. what is the address?,the address is 578 arbol dr.
is it going to rain at all this upcoming week what city shall i check for rain? redwood city chance of rain on redwood_city_saturday in redwood city. okay thank you,no problem
give me directions to 5677 southwest 4th street i'm sorry but i don't have this address in my memory: can you give me further details? it should be in the area?,i am not seeing anything listed in the area but i set the navigation to that address. is that ok?
"find me a gas station that i can get to the quickest without any traffic the nearest gas station is located at 91 el camino real, but there is a roadblock nearby. anything else around?",i'm sorry but this is the only option in a 6 miles range
"what's the highest temperature for this week you wanna know the highest temperature of which city? redwood city please, the highest temperature for this week.",redwood_city_sunday says that it has the highest temperature in redwood city this week.
is it going to be cloudy in the next 7 days what city can i give you this weather information for? i'm in boston but i will only be needing info on the next two days. it will not be cloudy in boston in the next two days. thanks.,you're welcome.
"how warm is it outside right now what city are you inquiring about? compton today in compton the low temperature in 90f and the high is 100f, it's not just warm, it's hot. thank you.",you are welcome.
find out what time my eye doctor appointment is your eye doctor appointment is at 3 pm on thursday.  thank you,you are welcome
give me directions to the grocery store we are Whole_Foods_distance away from whole foods and 3 miles away from sigona farmers market: where do you want to go? please send me its address and pick a route with no traffic for me! picking a route to whole foods. thank you car!,you are welcome.
what's the temperature going to be like on menlo_park_friday,what city do you want the weather for?
"find the shortest distance to a chinese restaurant nearby the nearest chinese restaurant is at jing jing. want more details? please jing jingcan be found at 113 arbol dr 1 mile away. there is a Jing_Jing_traffic_info ok, give me directions via the shortest distance please.  i sent the info on your screen, please drive carefully! thank you very much!",you're welcome!
check the weather for today,for what city would you like weather information for today?
"where can i buy groceries? there is one local grocery store called whole foods but a car collision is noted nearby.  oh no, is there any other options?",that is the only one.
give me the 7 day weather forecast what city do you want the weather for? san mateo.,"it will be warm in the beginning of the week and turn to rain and snow in san mateo next week.  it will be 30-40f monday, 70-80f tuesday, 60-70f wednesday, 30-40f thursday, 90-100f friday, 90-100f saturday, and 40-60f san_mateo_sunday."
where is the closest chinese restaurant? the closest chinese restaurant is Jing_Jing_distance away. what is the address?,jing jing's address is Jing_Jing_address.
is it cloudy today what city would you like to know if there will be snow in? i want to know if it will be cloudy in alhambra today today is gonna be hot in alhambra thank you!,you are welcome!
"can you find me a shopping center? i have two listings for shopping centers. which would you like? the one i could get to the fastest. ravenswood shopping center is the quickest at Ravenswood_Shopping_Center_distance with no traffic. it's located at 434 arastradero rd.  please pick a route to avoid all heavy traffic and let's go there, thank you!","i sent on your screen the best available route, drive carefully!"
"what's the forecast for today for what location? grand rapids, will there be frost today? no, no frost, there will be rain today in grand rapids thank you so much car!",you are very welcome!
tomorrow's forecast what city are you interested in? tomorrow's forecast for boston.,"tomorrow in boston there will be clear skies, and a low of 20f with a high of 40f."
set alarm for dinner tonight,what time i should set tonight's dinner alarm?
"i need to find out the time and parties attending for my medicine taking.  you have three medicine events scheduled. one at 5pm with you brother, another at 3pm with tom, and one at 7pm with your sister. thank you very much!",you are welcome
is it going to snow this week please tell me what city i can give you the snow information for. san francisco.,"yes, snow is predicted to fall in san francisco on san_francisco_monday."
set a reminder for the conference with the executive team at 5pm on monday august 7th.,"ok, conference with executive on august 7th for 5pm is set"
is it going to snow any this week in which city do you want to know if it will snow? alhambra. it will snow in alhambra on alhambra_tuesday. thank you.,anytime.
give me directions to the nearest mall the nearest  mall is town and country. it is on Town_and_Country_address how far is it and is there any traffic?,"town and country is Town_and_Country_distance away with moderate traffic, should i plot a route?"
where do i live?,"you should go back home at home_address, you sound confused, i'm worried for you!"
what's the forecast for the weather today what city are you asking about? i'd like to know if there are going to be blizzard on boston today today it's gonna be warm in boston thank you car!,you're very welcome!
schedule tennis for 10am on the tenth with tom,setting reminder for tennis at 10 am on the tenth with tom.
where is the nearest rest stop? nearest rest stop is 3 miles away. how is the traffic there? there is moderate traffic. what is the address? the address is 578 arbol dr. thanks.,no problem.
"where does my friend live? you have two friends listed; jill and tom, which one? the one closest to my location. jill's house is 5 miles away but there is a road block nearby. tom's house is 8 miles away but we should pass through the same road block well jill is closer so let's go there.  sure, i sent the route on your map thank you car!",anytime!
"what the nearest gas station by me? the nearest  gas station is chevron at Chevron_address ok, please direct me there via the quickest route.  setting navigation to the chevron now.  should i expect any traffic?",there is Chevron_traffic_info expected on this route. this is the only gas station i can find at this time.
what time do i need to take my medicine?,you are scheduled to take medicine at 10 am
i need a shopping center within 2 miles. stanford is the only shopping center listed at Stanford_Shopping_Center_distance away. do you want the address? yes and set the gps thank you.,"its address is Stanford_Shopping_Center_address, now you can see it on the map with the route to follow."
"could you tell me if there will be clear skies in carson on carson_friday? yes, the forecast on carson_friday in carson is for clear skies thank you.",anytime
please tell me the weather for today and what the weather will be tomorrow what city shall i find the weather forecast for? i want to know if there will be clear skies in downtown chicago.,yes today and tomorrow is supposed to be clear for chicago.
what gas stations are near? we're Chevron_distance away from chevron how's the traffic there? there is Chevron_traffic_info to chevron. what is the address?,chevron is located at Chevron_address. i sent the address to the navigation.
navigate to nearest chinese food place we are Mandarin_Roots_distance away from mandarin roots and there is tai pan 6 miles away: where would you like to go? what is mandarin roots' address? Mandarin_Roots_address. do you want me to navigate you there? yes please.,navigation set to mandarin roots. we should be there soon.
find a grocery market for me please. sigona farmers market	is Sigona_Farmers_Market_distance away. does it have the least amount of traffic? does it have the least amount of traffic? how is the traffic around the area? sigona farmers market route is being reported as Sigona_Farmers_Market_traffic_info.  ugh okay. i guess it will have to do. what's the address?,sigona farmers market is at Sigona_Farmers_Market_address.
navigate to the nearest mall,we are Midtown_Shopping_Center_distance away from midtown shopping center: would you like to go there?
is it going to be cloudy in the next 7 days,what city would you like to know about being cloudy?
"take me to a fast food restaurant pizza chicago and chef chu's (chinese) are  located Pizza_Chicago_distance away. would you like directions to either of those? give me the pizza chicago directions please. i will display the directions to pizza chicago for you now.  thank you car, pick a quick route if available!",there is a Pizza_Chicago_traffic_info but i sent on your screen the best route available
"please give me directions to the nearest starbucks there are no starbucks nearby but we're 2 miles away for the coffe teavana and just Philz_distance away from philz let's go at philz, just pick the fastest route with no traffic and send the address on the screen, thanks!","i sent the info on your screen, you should arrive in less than 2 minutes"
"please give me the address and directions to the nearest parking garage, avoiding all heavy traffic.  palo alto garage r is 1 mile away at 481 amaranta ave. with Palo_Alto_Garage_R_traffic_info noted.  ok, please give me directions via a route that avoids all heavy traffic.  setting fastest route to palo alto garage r.  thank you car assistant!",you're welcome!
look at the seven day forecast and see if it will be hot in oakland,it's not gonna be hot during the next week in oakland
what the nearest gas station by me?,the nearest  gas station is chevron at Chevron_address
i need directions to a grocery store the nearest grocery store is willows market which is 1 mile away with Willows_Market_traffic_info.  can you send me the route with the shortest distance?,"setting directions to 409 bollard st now. there is Willows_Market_traffic_info, so be careful."
tell me the best route to get home with the least amount of traffic home is only 1 mile away and there is home_traffic_info. would you like the directions now?  yes sounds good.  setting navigation now.  pick the fastest way please! setting navigation to home_address now. thank you car!,you're very welcome!
how hot is it going to be this week,in which location do you want to know if it's going to be hot?
what is the weather like this week you would like to know what the weather is like for what city? will it be hot in grand rapids this week? it will not be hot in grand rapids this week. thank you.,no problem.
navigate me to the nearest hotel there is no hotel listed that is near you.  i need a rest stop that is quick and near me. the closest rest stop is the westin. could you please give me the address and set the navigation there?,the address for the westin is The_Westin_address and the gps has been set.
i'm taking medicine at 7pm with marie,"alright, setting a reminder to take medicine at 7 pm with marie."
"search for nearest fast food restaurants the best option for fast food nearby is pizza my heart with Pizza_My_Heart_traffic_info to the location at 528 anton ct.  thank you car, set the gps to go there please! gps route is set to pizza my heart, Pizza_My_Heart_distance away with moderate traffic.  alright, thanks",you are welcome driver!
"i need you to set a schedule for a meeting at 3pm, the 5th with vice president to onboard new members",meeting scheduled for 3 pm on the 5th with the vice president to discuss onboard new members.
"please schedule a reminder for my doctor appointment at 11am on august 3rd with alex. i am scheduling a doctor appointment on august 3rd at 11 am with alex.  ok, thank you.",happy to help
"what's the lowest temperature in redwood city this week? it will be 30f in redwood city on redwood_city_monday. thanks. you're welcome, anything else? no, that's all.",great and hope you have a great day.
set my route to the closest mall it would be a 1 mile drive through Topanga_Mall_traffic_info to topanga mall at 171 oak rd great thank you setting navigation now.  thank you for directions via the quickest route.,"you are welcome driver, is there anything else you need?"
get me directions to the mall,town and country at Town_and_Country_address. would you like the route put on the screen?
what is the forecast for today and tomorrow which city would you like today and tomorrow's forecast for? i would like to know if it will be foggy in alhambra,it's not gonna be foggy in alhambra today or tomorrow
"get directions to the nearest hotel the nearest hotel is the westin, navigating now. what is the address of the nearest rest stop?",the nearest rest stop is at The_Westin_address.
"what is the date of my next tennis activity and who will be attending? you have two tennis appointments scheduled for the same time and date; both on tennis_activity_date at 11 am but one with father and one with jeff. is that a problem? no. everything is fine, thank you.",you're welcome.
directions to local cafe,the nearest cafe is 1 mile away. would you like the name and address of it?
"give me the weekly weather forecast please tell me what city you would like the weather forecast for? menlo park is where i need to know about.  the weather in menlo park is going to be mostly rain with the highs in the 70s and lows in the 20s.  will it be dry any day? it will only be windy on menlo_park_friday, all other days have rain or drizzle. okay perfect, thanks!",no problem! have a great day.
"in mountain view, will there be frost today or tomorrow?","no, in mountain view there will be clear skies today and dry tomorrow"
where is the nearest hotel the nearest hotel is the clement hotel The_Clement_Hotel_distance away. what is the address? the clement hotel is at The_Clement_Hotel_address. perfect!,navigation set and we should be there shortly.
i need a gas station with the least amount of traffic.,76 at 91 el camino real is the only gas station that i can find. it is 76_distance away through heavy traffic
schedule conference.,what details shall i add to your conference reminder?
what time is my medicine and who is involved?  you have two medicine events scheduled. one on friday at 9am with jon and another on the 10th at 9am with tom. thank you for all of that.,no problem
can you give me the weather this week for new york city,"this week in new york is predicted to be dry, clear skies, with a blizzard, windy and rain."
what is the address of my friends house?,your friend house is on 347 alta mesa ave: do you want me to set the gps to that location?
take me to the nearest starbucks,"i am unable to locate starbucks. however there are two coffee or tea place nearby, cafe venetia and philz"
"is it going to snow today where are you wanting to know if it's going to snow? what city? i need to know this for redwood city, today please.  no snow is scheduled for redwood city for today. okay great, thanks for looking!",you're welcome.
i have a meeting tomorrow at 5 pm remind me 10 minutes before hand and attach my agenda to the calendar at 3,i have scheduled a meeting for tomorrow at 5 pm. i will remind you at 4:50 pm and attach your agenda.
"what is the weather for the next 7 days what city are you interested in learning the weather for? i would like information about san mateo please.  it will be in the 30-50s monday to wednesday and 90-100f on thursday in san mateo.  san_mateo_friday through the weekend will be 20-40f. okay great, thank you so much.",no problem.
car i'm desiring to have pizza!,here is a route to pizza chicago at 915 arbol dr. it is Pizza_Chicago_distance away without any traffic
"remind me about a optometrist appointment on tuesday at 2 pm, my sister will be coming will set a reminder for optometrist appointment on tuesday at 2pm with sister. okay great, thanks so much!",happy to help
where does my friend live? jack or jill? the one i can get to quickest.  jacks house is jacks_house_distance away at 864 almanor ln.  set gps for quickest route.,"okay, heading to jack's house, the route shouldn't have any traffic"
"what's the temperature going to be for the week where do you want to know the temperature for? san jose what days are you interested in? i want the whole week. in san jose this week, the temperatures will be: low of 50f and high of 70f on monday, low of 50f, high of 70f on tuesday, low of 80f, high of 100f on wednesday, low of 70f, high of 80f on thursday, low of 30f, high of 50f on friday, low of 70f, high of 90f on saturday, low of 50f, high of 70f on san_jose_sunday okay, perfect. thanks!",you're welcome!
"take me to the closest starbucks there are no starbucks nearby. would yo like another coffee shop?  yes, what else is there?","there is one place 1 mile away, peets coffee, would you like the address?"
"is it gonna be hot in danville during the week? in danville the forcast is a high of 50f on monday, a high of 60f on tuesday, a high of 40f on wednesday, a high of 80f on thursday, a high of 100f on friday, a high of 50f on saturday and a high of 40f on danville_sunday. thank you.",you are welcome.
show me traffic for going home,there is home_traffic_info listed going to 10 ames street.
will it rain in fresno over the next seven days it will rain in fresno on fresno_saturday. thanks.,you are welcome.
what is the weather forecast like in the city,can you tell me what city i should give you the weather information about?
"find directions to home i do not have directions for home at this moment. my home is within 3 miles, does this help?",do you mean you want to go at tom's house? it's the only private address i have in a 3 miles range.
which days will be cloudy this week which city would you like the cloudy day forecast for this week? camarillo,in camarillo it's gonna be hail on thursday and it will rain on camarillo_sunday
give me directions to the nearest starbucks,there is no starbucks nearby.
is it going to rain this week what city are you wanting to know if it's going to rain? grand rapids grand_rapids_sunday is the only day that rain is predicted in grand rapids. thanks.,no problem.
find me somewhere to park,i have a parking garage Palo_Alto_Garage_R_distance away. would you like the name and address to it?
get directions to the nearest parking garage,the nearest parking garage is at 481 amaranta ave.
on alhambra_wednesday will there be dew in alhambra,"yes, there will be dew in alhambra on alhambra_wednesday."
find out the parties that are attending my football activity. also find the time.  your football activity is scheduled for football_activity_date at 2 pm with jeff.  thank you buddy.,you are welcome friend.
where is a hospital within Palo_Alto_Medical_Foundation_distance?,palo alto medical foundation	is Palo_Alto_Medical_Foundation_distance away.
"what's the temperature outside like today what city are you in? i'm in new york in new york there is a low temperature of 80f, and a high of 100f thanks",anytime
"what is the date and time for my yoga activity? you have four yoga activities scheduled. one is on monday at 9am, another is on thursday at 7pm, another is on yoga_activity_date at 11am, and the last is on the 16th at 2pm. thanks.",glad i can help.
what is the weather going to be like tomorrow show me the 7 day forecast,what city shall i look the 7 day forecast in?
