,inputs,outputs,predictions
5900,"set a reminder to take medicine at 9am on the 12th of this month with alex. okay, setting a reminder to take medicine at 9am on the 12th of this month with alex. thanks.",no problem,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> glad <eos>
5901,will there be any frost in fresno this week?,"no, there will not be any frost in fresno this weekend.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> will no not no some during fresno this week <eos>
5902,"will there be any frost in fresno this week? no, there will not be any frost in fresno this weekend. thanks.",anytime.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> problem <pad> <unk> <unk> <eos>
5903,get me directions to a local cafe,"the closest cafe is teavana, it is Teavana_distance away at 145 amherst st.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> cafe would foods like the closest <unk> <eos>
5904,"get me directions to a local cafe the closest cafe is teavana, it is Teavana_distance away at 145 amherst st. do you have the quickest route available?","unfortunately there is heavy traffic but the cafe is just Teavana_distance away, at 145 amherst st",<pad> <pad> <pad> both i have cafe center is you Cafe_Venetia_distance Stanford_Express_Care_address can your it the the with screen <eos>
5905,"get me directions to a local cafe the closest cafe is teavana, it is Teavana_distance away at 145 amherst st. do you have the quickest route available? unfortunately there is heavy traffic but the cafe is just Teavana_distance away, at 145 amherst st thanks.",you're welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> shopping <pad> <pad> express care away Stanford_Express_Care_address <eos>
5906,is it supposed to rain this week,please tell me what city you want to know if it will rain in.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> know city are you inquiring <unk> <eos>
5907,is it supposed to rain this week please tell me what city you want to know if it will rain in. san francisco,it will drizzle on san_francisco_tuesday on san francisco but no heavy rain.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> not not snow fall alhambra los_angeles_tuesday today and is <eos>
5908,is it supposed to rain this week please tell me what city you want to know if it will rain in. san francisco it will drizzle on san_francisco_tuesday on san francisco but no heavy rain. thank you.,no problem.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are are to here <eos>
5909,what is the date of my next doctor appointment and who will be attending?,your next doctor appointment is on doctor_appointment_date at 11 am.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> your on with and and another on doctor_appointment_date with your sister <eos>
5910,what is the date of my next doctor appointment and who will be attending? your next doctor appointment is on doctor_appointment_date at 11 am. who is attending?,your doctor_appointment_party is joining you.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> help <eos>
5911,where can a girl get some pizza around here?,there is pizza chicago Pizza_Chicago_distance away and round table 7 miles away: they should serve pizza to boys as well,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> car and the home_traffic_info would you like and <unk> <eos>
5912,where can a girl get some pizza around here? there is pizza chicago Pizza_Chicago_distance away and round table 7 miles away: they should serve pizza to boys as well please give me the address and directions via the route that avoids all Pizza_Chicago_traffic_info to pizza chicago.,"the restaurant's address is Pizza_Chicago_address, i sent on your screen the best available route",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> sent sent sent sent topanga is on directions on you're <eos>
5913,"where can a girl get some pizza around here? there is pizza chicago Pizza_Chicago_distance away and round table 7 miles away: they should serve pizza to boys as well please give me the address and directions via the route that avoids all Pizza_Chicago_traffic_info to pizza chicago. the restaurant's address is Pizza_Chicago_address, i sent on your screen the best available route thank you.",you're welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <unk> you're <unk> <eos>
5914,i want coffee.,i have two listings of places that serve coffee. which option would you like to know about?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you you do a away <eos>
5915,i want coffee. i have two listings of places that serve coffee. which option would you like to know about? tell me about the one near my current location,teavana is only 1 mile away.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> for in is the scheduled agenda with <eos>
5916,"i want coffee. i have two listings of places that serve coffee. which option would you like to know about? tell me about the one near my current location teavana is only 1 mile away. then pick the fastest route and let's go there, thank you!",taking you to teavana.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're navigating <pad> center at welcome <eos>
5917,"i want coffee. i have two listings of places that serve coffee. which option would you like to know about? tell me about the one near my current location teavana is only 1 mile away. then pick the fastest route and let's go there, thank you! taking you to teavana. thank you car!",you are welcome,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> your the <unk> you're your <unk> <eos>
5918,what is the date and time of my next exercise class,your next exercise class is swimming scheduled for tuesday at 2 pm.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> your next tennis activity is on at 2 pm <eos>
5919,schedule a conference with the boss on the 2nd at 2pm.,i will schedule a conference with the boss on the 2nd at 2pm.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> scheduling a management on the the of the 2nd at 2pm <eos>
5920,schedule a conference with the boss on the 2nd at 2pm. i will schedule a conference with the boss on the 2nd at 2pm.  thanks.,have a great day.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> i goodbye <eos>
5921,i'd love to go shopping are there any malls nearby,"there is town and country Town_and_Country_distance away, it should be perfect for you!",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> away with no traffic would you like to go <unk> <eos>
5922,"i'd love to go shopping are there any malls nearby there is town and country Town_and_Country_distance away, it should be perfect for you! then let's go there, thank you, please pick a quick route for me",navigating to town and country.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> a welcome <eos>
5923,"i'd love to go shopping are there any malls nearby there is town and country Town_and_Country_distance away, it should be perfect for you! then let's go there, thank you, please pick a quick route for me navigating to town and country. thank you so much.","you're welcome, have a great day.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> here you out out you're <eos>
5924,tell me the closest place to get a cup of hot tea,starbucks is the closest place to get tea.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> at 394 van ness ave would you like directions <unk> <eos>
5925,"tell me the closest place to get a cup of hot tea starbucks is the closest place to get tea. please pick a route with no traffic and send me the address on screen, thank you!",the only address has high traffic is that okay?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> i route my my your on Valero_address is you're avenue <eos>
5926,"tell me the closest place to get a cup of hot tea starbucks is the closest place to get tea. please pick a route with no traffic and send me the address on screen, thank you! the only address has high traffic is that okay? we'll make it work anyway, thank you!",you're welcome and i'll try to get you there as soon as possible.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> have you're welcome now <eos>
5927,when should i take my medicine next,you take your next dose on medicine_date at 7 pm.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> your next on medicine_date at 3 pm <eos>
5928,will there be dew in durham tomorrow?,"no, tomorrow there will be clear skies on durham",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> will in any calls for durham tomorrow <eos>
5929,"will there be dew in durham tomorrow?  no, tomorrow there will be clear skies on durham okay, thank you",you are welcome.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> no problem <eos>
5930,"will there be dew in durham tomorrow?  no, tomorrow there will be clear skies on durham okay, thank you you are welcome. thanks.",anytime!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're <unk> <unk> have <unk> <unk> <eos>
5931,schedule my tennis class,what date and time would you like to schedule your tennis class?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you <pad> eye 5 <unk> <eos>
5932,what is the agenda of my meeting today,the purpose of the meeting today is to go over the budget.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you do conference to the 7pm <unk> <eos>
5933,what is the agenda of my meeting today the purpose of the meeting today is to go over the budget. thanks,anything else?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you <eos>
5934,is it gonna be windy in camarillo on camarillo_sunday?,"yes, on camarillo_sunday it will be windy in camarillo",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> it actually windy on cleveland fast dry <eos>
5935,"is it gonna be windy in camarillo on camarillo_sunday? yes, on camarillo_sunday it will be windy in camarillo thank you.",you are welcome,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> glad <pad> <pad> <pad> <pad> <pad> <pad> you're help <eos>
5936,what is the address for my house?,your house is located at 5671 barringer street.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> city do to at 10 ames street <eos>
5937,what is the address for my house?  your house is located at 5671 barringer street. tell me the fastest route there,there is a car collision being noted on the route but it's still the fastest possible at this time.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you panda now <eos>
5938,what is the address for my house?  your house is located at 5671 barringer street. tell me the fastest route there there is a car collision being noted on the route but it's still the fastest possible at this time.  ok let's do this. thanks for all the help.,you're welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you <pad> you welcome welcome <eos>
5939,where is the nearest rest stop?,the clement hotel	is The_Clement_Hotel_distance away.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> there which you el miles away <eos>
5940,"where is the nearest rest stop? the clement hotel	is The_Clement_Hotel_distance away. thanks, what is the address?",the clement hotel is located at The_Clement_Hotel_address.,<pad> <pad> <pad> <pad> <pad> closer located is <pad> <pad> <pad> <pad> <pad> <pad> at keen address the away <eos>
5941,"where is the nearest rest stop? the clement hotel	is The_Clement_Hotel_distance away. thanks, what is the address? the clement hotel is located at The_Clement_Hotel_address.  could you please show me the quickest route to get there?",there is a The_Clement_Hotel_traffic_info but i sent on your screen another route that should allow you to reach as fast as the original one,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> i the a for directions screen your screen <eos>
5942,"where is the nearest rest stop? the clement hotel	is The_Clement_Hotel_distance away. thanks, what is the address? the clement hotel is located at The_Clement_Hotel_address.  could you please show me the quickest route to get there? there is a The_Clement_Hotel_traffic_info but i sent on your screen another route that should allow you to reach as fast as the original one thank you car!",you're very welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <unk> <eos>
5943,can you give me directions to the nearest starbucks,there is no starbucks nearby.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> at <pad> foods would at like more <unk> <eos>
5944,can you give me directions to the nearest starbucks there is no starbucks nearby. how about the address to any coffee shop.,"ther are cafe venetia and philz Philz_distance away, and palo alto cafe 3 miles away: which one do you prefer?",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> located is is at away <eos>
5945,"can you give me directions to the nearest starbucks there is no starbucks nearby. how about the address to any coffee shop. ther are cafe venetia and philz Philz_distance away, and palo alto cafe 3 miles away: which one do you prefer? the one with the quickest route.","then let's go at philz, it's the nearest one and there is Philz_traffic_info on our way",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> no is <unk> no located one el would navigation <eos>
5946,"can you give me directions to the nearest starbucks there is no starbucks nearby. how about the address to any coffee shop. ther are cafe venetia and philz Philz_distance away, and palo alto cafe 3 miles away: which one do you prefer? the one with the quickest route. then let's go at philz, it's the nearest one and there is Philz_traffic_info on our way okay, give me the address to philz and set navigation to find the quickest route there.",philz is at Philz_addressnue and navigation is set.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> mandarin roots at is <eos>
5947,"can you give me directions to the nearest starbucks there is no starbucks nearby. how about the address to any coffee shop. ther are cafe venetia and philz Philz_distance away, and palo alto cafe 3 miles away: which one do you prefer? the one with the quickest route. then let's go at philz, it's the nearest one and there is Philz_traffic_info on our way okay, give me the address to philz and set navigation to find the quickest route there. philz is at Philz_addressnue and navigation is set.  thank you.",you're welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> have town Round_Table_address is shortly <eos>
5948,find a gas station that is not farther than 3 miles away.,i have a shell gas station 1 mile away.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> chu's hospitals within 2 miles <eos>
5949,"find a gas station that is not farther than 3 miles away. i have a shell gas station 1 mile away. ok, where is it and i need a quick route there.",shell is located at Shell_address.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> route quickest route pizza mile now now <eos>
5950,"find a gas station that is not farther than 3 miles away. i have a shell gas station 1 mile away. ok, where is it and i need a quick route there. shell is located at Shell_address. give me the directions there with the quickest route","okay, heading to shell",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> to have directions now now <eos>
5951,address for starbucks please.,starbucks is located at Starbucks_address.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you at 1 nearby <unk> <eos>
5952,address for starbucks please.  starbucks is located at Starbucks_address.  which one is it the fastest route to go there? could you show it on my map?,"i will calculate the fastest route for you, and show you on your map.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> should day <eos>
5953,"address for starbucks please.  starbucks is located at Starbucks_address.  which one is it the fastest route to go there? could you show it on my map? i will calculate the fastest route for you, and show you on your map. thank you.",you are welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> welcome <pad> <unk> a <unk> <eos>
5954,schedule a tennis match for 3pm this week with jeff.,setting reminder for tennis match this week at 3 pm with jeff; do you know the date?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> scheduling a tennis monday of brother at 5pm with jeff <eos>
5955,schedule a tennis match for 3pm this week with jeff. setting reminder for tennis match this week at 3 pm with jeff; do you know the date? it's on tuesday. thanks,sounds good. i've set that in your calendar.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> it be be 1pm on <eos>
5956,when is my doctors appointment and who is going?,"you have four doctor appointments scheduled. one on doctor_appointment_date with your aunt, one on the 13th with martha, another on the 14th with your aunt, and the last on the 19th with jon.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> one with the and at thursday pm with tom <eos>
5957,"when is my doctors appointment and who is going? you have four doctor appointments scheduled. one on doctor_appointment_date with your aunt, one on the 13th with martha, another on the 14th with your aunt, and the last on the 19th with jon. thanks for the info.",you're welcome.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <eos>
5958,will it rain next week,in which city do you want to know if it will rain?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you it you rain <unk> <eos>
5959,will it rain next week in which city do you want to know if it will rain? i need to know about carson please.,there is no rain in the forecast for carson next week.,<pad> <pad> <pad> <pad> <pad> <pad> hot today and foggy be it on today mountain this in at <unk> <eos>
5960,does the forecast say it will snow,what city are you asking about?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you want to know snow forecast <unk> <eos>
5961,"does the forecast say it will snow what city are you asking about? san jose, will it snow on san_jose_friday?","in san jose there will be drizzle on san_jose_friday, no snow",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> it be frost predicted in cleveland this rapids <eos>
5962,"does the forecast say it will snow what city are you asking about? san jose, will it snow on san_jose_friday? in san jose there will be drizzle on san_jose_friday, no snow thank you!",you are welcome.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <unk> <eos>
5963,"does the forecast say it will snow what city are you asking about? san jose, will it snow on san_jose_friday? in san jose there will be drizzle on san_jose_friday, no snow thank you! you are welcome. great!",anytime!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <unk> are <pad> i <unk> <eos>
5964,schedule my doctors appointment on the 12th,what time is the appointment?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you at am for the <unk> <eos>
5965,i need the closest parking garage.,"i have two parking garages listed, both are Dish_Parking_distance away.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> here to the away Palo_Alto_Garage_R_distance good <eos>
5966,"i need the closest parking garage.  i have two parking garages listed, both are Dish_Parking_distance away. which has the least amount of traffic so i could get there in the shortest distance?",they both have Dish_Parking_traffic_info currently.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> is they currently is located through arcadia away <eos>
5967,"i need the closest parking garage.  i have two parking garages listed, both are Dish_Parking_distance away. which has the least amount of traffic so i could get there in the shortest distance? they both have Dish_Parking_traffic_info currently. what's the name and address of them?",they are dish parking at Dish_Parking_address and civic center garage at270 altaire walk.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're you're alto and there <eos>
5968,"i need the closest parking garage.  i have two parking garages listed, both are Dish_Parking_distance away. which has the least amount of traffic so i could get there in the shortest distance? they both have Dish_Parking_traffic_info currently. what's the name and address of them? they are dish parking at Dish_Parking_address and civic center garage at270 altaire walk. let's go to dish parking.",taking you to dish parking.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> got directions welcome it's <eos>
5969,"i need the closest parking garage.  i have two parking garages listed, both are Dish_Parking_distance away. which has the least amount of traffic so i could get there in the shortest distance? they both have Dish_Parking_traffic_info currently. what's the name and address of them? they are dish parking at Dish_Parking_address and civic center garage at270 altaire walk. let's go to dish parking.  taking you to dish parking. thank you car!",you're welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> no alto address <unk> is alto <unk> <eos>
5970,tell me what the temperature will be like for the next week,in which city?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> for <pad> city are you interested in the <unk> <eos>
5971,tell me what the temperature will be like for the next week in which city? i need weekly temperature information for the city of corona.,"in corona, it will be between 70-80f on monday, 30-40f on tuesday, 30-50f on wednesday, 90-100f on thursday, 40-60f on friday, 20-30f on saturday, and 90-100f on corona_sunday.",<pad> will be be overcast monday snow be not gonna it's 20f in be monday saturday and drizzling with <eos>
5972,"tell me what the temperature will be like for the next week in which city? i need weekly temperature information for the city of corona.   in corona, it will be between 70-80f on monday, 30-40f on tuesday, 30-50f on wednesday, 90-100f on thursday, 40-60f on friday, 20-30f on saturday, and 90-100f on corona_sunday. thanks.",you are welcome.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> my <eos>
5973,i need a pizza place within 4 miles.,"the nearest pizza restaurant is round table, it's just Round_Table_distance away but there is a road block nearby",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> located r there that is on the <unk> <eos>
5974,"i need a pizza place within 4 miles. the nearest pizza restaurant is round table, it's just Round_Table_distance away but there is a road block nearby ouch, patience.. please pick a quick route to go there, thank you!",setting gps to Round_Table_address to go to round table.,<pad> traffic on our but you are i route route to only to the should on fast and <unk> <eos>
5975,"i need a pizza place within 4 miles. the nearest pizza restaurant is round table, it's just Round_Table_distance away but there is a road block nearby ouch, patience.. please pick a quick route to go there, thank you! setting gps to Round_Table_address to go to round table.  thank you for the information.",you're welcome. have a great day.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> no <pad> you're <unk> <eos>
5976,what time is the swimming party and who is attending?,"you have three  swimming activities scheduled. the one at 5pm is with your brother, the other at 7pm is with alex, and the one at 2pm is also with your brother. would you like to know the dates as well?",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> and one and activity at at pm your <unk> <eos>
5977,"what time is the swimming party and who is attending? you have three  swimming activities scheduled. the one at 5pm is with your brother, the other at 7pm is with alex, and the one at 2pm is also with your brother. would you like to know the dates as well? yes that would be helpful.","the one at 2pm is on sunday, the one at 7pm is on monday, and the one at 5pm is on the 6th.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> 40f on scheduled scheduled with tennis_activity_date <eos>
5978,"what time is the swimming party and who is attending? you have three  swimming activities scheduled. the one at 5pm is with your brother, the other at 7pm is with alex, and the one at 2pm is also with your brother. would you like to know the dates as well? yes that would be helpful. the one at 2pm is on sunday, the one at 7pm is on monday, and the one at 5pm is on the 6th. thanks.",you are welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> reminder appointment <eos>
5979,give me directions to the nearest parking garage,dish parking is Dish_Parking_distance away without any traffic. you can find it at 550 alester ave,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> mall will does it gps 481 amaranta ave <eos>
5980,give me directions to the nearest parking garage dish parking is Dish_Parking_distance away without any traffic. you can find it at 550 alester ave can you set navigation and get us there?,"i sent the info on your screen, drive carefully!",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> sent the route on your is your <eos>
5981,"give me directions to the nearest parking garage dish parking is Dish_Parking_distance away without any traffic. you can find it at 550 alester ave can you set navigation and get us there? i sent the info on your screen, drive carefully! thank you.",you're welcome; drive carefully.,<pad> <pad> <pad> <pad> set set on the and route route address the route route its me to i <eos>
5982,can you schedule dinner with tom at 6pm today?,"okay, setting a dinner reminder for today at 6 pm with tom.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> tea <pad> with martha on date you time <unk> <eos>
5983,"can you schedule dinner with tom at 6pm today? okay, setting a dinner reminder for today at 6 pm with tom. thanks.",you are welcome.,great <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you <eos>
5984,will it rain in redwood city this weekend?,it will not rain in redwood city this weekend.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> will not rain should hot in city redwood_city_monday <eos>
5985,will it rain in redwood city this weekend? it will not rain in redwood city this weekend. thank you.,anytime!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are <unk> <eos>
5986,check today's weather,for what location?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you you the weather <unk> <eos>
5987,check today's weather for what location? new york.,"today is gonna be dry in new york, with low temperature of 70f, and high of 90f",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> hear there are the today's of <unk> <eos>
5988,"check today's weather for what location? new york. today is gonna be dry in new york, with low temperature of 70f, and high of 90f thank you!",you're welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> no <unk> <eos>
5989,info about meeting.,your meeting is on meeting_date at 6 pm with the executive team. you will be having it in conference room 102 and the agenda is to discuss the dress code.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you you marie your <unk> <eos>
5990,"info about meeting.  your meeting is on meeting_date at 6 pm with the executive team. you will be having it in conference room 102 and the agenda is to discuss the dress code.  thank you, that will be all.",you're welcome,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you help <eos>
5991,remind me there's a football game on the 12th,what time would you like a reminder for the football game?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> to appointment city of a road at 11 i've <eos>
5992,remind me there's a football game on the 12th what time would you like a reminder for the football game? for 3pm please.,i am setting a reminder for the football game on the 12th at 3 pm.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> your reminder reminder dinner dentist optometrist tomorrow at at <eos>
5993,remind me there's a football game on the 12th what time would you like a reminder for the football game? for 3pm please.  i am setting a reminder for the football game on the 12th at 3 pm.  thanks,you're welcome,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are welcome welcome <eos>
5994,i need a route to a gas station and avoid Shell_traffic_info.,shell is the only gas but there is Shell_traffic_info.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> collision i are you sure it shopping is you philz that <eos>
5995,"i need a route to a gas station and avoid Shell_traffic_info.  shell is the only gas but there is Shell_traffic_info. we're going to run out of gas, set the gps to go there anyway, thank you!","i did, the info are on your map, you're welcome!",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> shopping quickest drive through shortly <eos>
5996,do you know who's coming for tennis? and when is it taking place?,"you have two tennis activities scheduled, one for 4pm on the 10th with your mother, and one for 7pm on the 5th with tom.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> in overcast with with or <eos>
5997,"do you know who's coming for tennis? and when is it taking place? you have two tennis activities scheduled, one for 4pm on the 10th with your mother, and one for 7pm on the 5th with tom. okay thanks.",you are welcome.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> to at at you help <eos>
5998,find the fastest direction to home,here are directions home.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> stanford is away ave miles home_traffic_info <eos>
5999,find the fastest direction to home here are directions home. thanks and make sure to get me the fastest route.,there is home_traffic_info but you should reach soon anyway!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> have a with drive <eos>
6000,give me directions to my house,where is your house located?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> would know with no traffic noted <eos>
